"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"438",0,0,0,0,0,0,0,1,0,0
"439",0,0,0,0,0,0,0,0,0,1
"440",0,1,0,0,1,0,1,1,0,2
"441",0,0,0,0,0,0,0,0,0,2
"442",0,0,0,0,0,1,0,1,1,1
"443",0,1,0,0,1,0,1,0,0,1
"444",1,0,1,1,0,1,0,0,1,0
"445",2,0,0,2,0,0,2,0,2,0
"446",0,1,0,0,2,0,1,1,0,2
"447",0,0,0,1,0,0,0,1,1,1
"448",0,0,1,1,0,1,0,0,1,0
"449",0,1,0,0,1,0,0,2,1,2
"450",0,0,0,0,0,1,0,0,1,0
"451",0,0,0,0,0,1,0,1,1,0
"452",0,0,0,0,0,0,1,2,0,1
"453",1,1,0,0,1,0,2,1,0,2
"454",2,0,2,1,0,0,0,3,2,3
"455",1,3,0,0,1,0,1,1,0,4
"456",1,0,0,0,0,0,1,1,2,0
"457",0,0,0,0,0,0,0,0,0,0
"458",0,0,0,1,0,0,0,2,1,0
"459",0,0,0,0,0,0,0,1,0,0
"460",0,0,0,0,0,0,1,0,1,0
"461",1,0,1,1,1,0,1,1,4,1
"462",0,1,0,0,1,0,0,1,0,1
"463",1,1,1,1,0,1,0,1,2,1
"464",0,0,0,1,0,0,1,1,0,1
"465",1,0,1,1,0,1,1,0,1,0
"466",0,0,0,0,1,0,0,0,0,2
"467",0,1,0,0,0,0,0,1,0,1
"468",1,1,0,0,0,0,0,0,1,1
"469",0,0,0,0,0,0,0,0,0,1
"470",0,2,0,0,2,0,1,2,0,2
"471",1,1,0,1,1,1,0,1,1,1
"472",0,4,1,1,4,1,2,6,1,5
"473",2,0,0,2,0,0,2,1,2,1
"474",0,0,0,0,0,0,0,0,0,2
"475",0,0,0,0,0,0,0,0,0,0
"476",1,1,0,0,1,1,0,1,1,2
"477",0,0,0,1,0,0,1,0,0,2
"478",0,0,0,0,0,0,0,0,0,0
"479",1,0,0,0,0,0,0,0,1,1
"480",0,0,0,0,0,0,0,1,1,1
"481",0,0,0,0,0,0,0,1,1,1
"482",0,0,0,0,0,0,0,0,0,0
"483",0,0,0,1,0,1,0,1,1,2
"484",0,2,0,0,1,0,0,0,0,1
"485",2,2,1,2,0,2,1,1,2,1
"486",1,0,0,0,0,0,0,1,1,0
"487",0,0,0,0,0,0,0,2,0,2
"488",0,0,0,0,0,0,0,0,0,0
"489",0,0,0,0,0,0,1,1,0,3
"490",1,0,1,1,0,1,1,2,2,2
"491",0,0,0,0,0,0,0,1,0,0
"492",1,1,0,2,0,0,0,3,2,1
"493",0,0,0,0,1,0,0,2,0,2
"494",0,2,0,2,2,1,0,1,2,2
"495",0,0,0,1,0,0,0,0,1,0
"496",0,0,0,0,0,0,0,0,0,1
"497",0,0,0,0,0,0,0,0,0,0
"498",0,0,0,0,0,0,0,1,0,1
"499",0,0,0,0,1,0,0,1,0,1
"500",0,1,0,1,0,0,0,1,0,4
"501",2,0,0,1,0,0,1,0,2,0
"502",1,0,0,1,0,0,1,2,1,1
"503",0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0,1,1,1
"505",0,1,0,1,0,0,0,2,0,1
"506",0,1,0,0,1,0,0,0,0,3
"507",0,0,0,0,0,0,0,0,0,0
"508",2,1,2,2,0,2,2,2,2,2
"509",0,0,0,0,0,0,0,0,0,0
"510",1,1,0,3,1,0,1,1,2,2
"511",0,1,0,1,0,0,0,1,3,1
"512",1,2,0,1,1,0,1,2,2,1
"513",1,1,0,0,0,0,0,1,1,0
"514",1,2,0,1,1,0,1,1,1,1
"515",0,0,0,0,0,0,0,0,0,0
"516",0,0,1,0,0,0,0,0,1,0
"517",0,0,0,0,0,0,0,0,0,0
"518",0,0,0,0,0,0,0,0,0,0
"519",0,0,0,0,0,0,0,0,0,0
"520",1,1,0,3,0,1,0,4,1,3
"521",0,0,0,0,0,0,1,0,0,2
"522",0,1,0,0,1,0,0,1,0,3
"523",1,0,0,0,1,1,0,1,0,1
"524",0,0,0,0,0,0,0,2,1,1
"525",1,1,0,0,0,0,0,0,2,1
"526",0,0,0,0,0,0,0,0,0,0
"527",1,0,0,0,0,0,0,1,1,0
"528",0,0,0,0,0,0,0,0,0,0
"529",0,1,0,1,1,0,1,1,0,1
"530",0,1,0,0,1,0,0,2,0,3
"531",1,0,0,0,0,1,0,1,1,1
"532",0,1,0,1,1,0,1,0,1,2
"533",0,1,0,0,0,0,0,1,0,1
"534",0,0,0,0,0,0,0,0,0,1
"535",2,1,1,1,0,1,1,0,2,1
"536",1,2,0,1,1,0,1,1,1,1
"537",1,2,1,1,0,1,0,0,1,1
"538",1,1,0,1,1,1,0,1,2,2
"539",0,0,0,0,0,0,0,1,1,2
"540",0,0,0,2,0,1,0,1,2,1
"541",0,1,0,0,1,2,0,2,3,2
"542",0,0,0,0,0,0,0,0,0,0
"543",0,0,0,0,0,0,0,0,0,1
"544",0,0,0,0,0,0,0,0,0,0
"545",0,2,0,0,0,0,1,2,1,2
"546",0,1,0,0,1,0,0,1,0,1
"547",0,2,0,0,0,0,0,1,0,1
"548",1,1,1,0,1,0,1,1,0,2
"549",0,0,0,0,0,0,0,0,0,0
"550",0,2,0,0,0,0,0,0,0,1
"551",1,0,0,1,0,1,0,0,1,0
"552",1,0,0,1,0,0,0,0,1,1
"553",1,0,1,1,0,0,0,0,1,0
"554",0,0,0,1,0,0,0,1,0,2
"555",0,2,0,0,0,0,1,2,0,3
"556",0,0,2,0,0,0,0,0,3,0
"557",0,0,0,0,1,0,0,0,0,1
"558",0,0,0,0,0,0,0,0,0,0
"559",1,4,0,1,0,1,1,0,1,1
"560",0,0,1,0,0,1,0,0,2,1
"561",0,0,0,0,0,0,0,1,1,1
"562",0,1,1,1,0,0,0,2,0,1
"563",1,0,0,0,0,0,0,1,1,2
"564",0,0,0,0,0,0,0,0,0,0
"565",1,0,0,2,0,2,1,1,2,1
"566",0,0,0,0,0,0,0,0,0,0
"567",0,0,0,0,0,1,1,0,1,0
"568",0,0,0,0,0,0,0,0,0,1
"569",1,1,0,1,0,0,0,2,1,2
"570",0,0,0,0,0,0,0,0,0,1
"571",1,0,0,1,0,0,0,0,1,1
"572",0,1,0,0,0,0,0,0,0,0
"573",1,0,1,1,0,1,0,1,1,1
"574",0,0,0,0,0,0,0,0,0,1
"575",1,1,1,1,0,0,0,1,1,0
"576",0,1,0,1,1,2,0,1,2,1
"577",0,1,0,0,0,0,0,0,0,0
"578",1,0,2,1,0,1,1,2,1,0
"579",0,0,0,0,0,0,0,0,0,0
"580",0,0,0,0,0,0,0,0,0,0
"581",0,3,0,0,1,0,1,3,1,2
"582",0,0,0,0,0,0,0,1,0,0
"583",1,0,0,0,0,1,0,0,1,1
"584",1,2,0,1,0,0,0,0,0,1
"585",0,0,0,0,0,0,0,0,0,0
"586",1,0,0,0,0,0,0,0,0,0
"587",0,0,0,0,1,0,0,2,1,1
"588",0,0,0,0,0,0,1,0,0,0
"589",0,1,0,0,1,0,0,1,0,1
"590",0,2,0,1,2,1,0,2,1,3
"591",0,1,0,0,0,0,0,0,1,0
"592",1,0,0,2,0,1,0,1,2,0
"593",1,2,0,1,0,0,1,2,0,3
"594",0,0,0,0,0,0,0,1,0,2
"595",0,0,0,1,0,1,0,0,2,0
"596",0,1,0,0,0,0,0,0,0,0
"597",0,0,0,0,0,0,0,0,0,0
"598",0,0,0,0,0,0,0,0,0,0
"599",0,1,0,1,1,0,0,1,0,1
"600",0,1,0,1,0,0,0,0,0,0
